0,120,130,-0.568246,0.265497,126.816,0.0148171,5,
1,120,126.816,-0.568246,0.0148171,126.642,0.000807297,1.7039,
2,120,126.642,-0.568246,0.000807297,126.633,4.39265e-05,0.8303,
3,120,126.633,-0.568246,4.39265e-05,126.632,2.38995e-06,0.414561,
4,120,126.632,-0.568246,2.38995e-06,126.632,1.30031e-07,0.207265,
5,120,126.632,-0.568246,1.30031e-07,126.632,7.0747e-09,0.103632,
6,120,126.632,-0.568246,7.0747e-09,126.632,3.84887e-10,0.0518159,
7,120,126.632,-0.568246,3.84887e-10,126.632,2.09184e-11,0.025908,
8,120,126.632,-0.568246,2.09184e-11,126.632,1.16529e-12,0.012954,
9,120,126.632,-0.568246,1.16529e-12,126.632,8.52651e-14,0.00647699,
10,120,126.632,-0.568246,8.52651e-14,126.632,0,0.00323849,
