0,0,4,-5,6.6,2,-0.4,2,
1,2,4,-0.4,6.6,3,-3.2,0.5,
2,3,4,-3.2,6.6,3.5,-0.625,0.125,
3,3.5,4,-0.625,6.6,3.75,2.3125,0.03125,
4,3.5,3.75,-0.625,2.3125,3.625,0.686719,0.0078125,
5,3.5,3.625,-0.625,0.686719,3.5625,-0.00693359,0.00195312,
6,3.5625,3.625,-0.00693359,0.686719,3.59375,0.330261,0.000488281,
